300812 1
688058 5
688258 5
300242 3
002160 1
300230 2
000881 2
002641 1
600568 5
300403 1
300312 1
300591 1
002224 1
300179 1
002026 1
603178 4
603536 5
002277 2
300085 1
300063 1
300302 2
300415 3
300087 2
002635 2
002335 3
600232 5
300468 3
603773 5
002747 4
000885 3
300541 2
300462 2
300579 2
300598 2
601010 5
600455 5
600129 5
300811 3
300740 1
300659 1
300489 3
300391 2
300379 1
002866 4
002740 1
002688 1
002623 2
002107 1
002103 1
000815 4
300763 3
603127 5
002973 1
002291 1
300235 4
603138 5
002125 3
600120 5
000700 1
300352 1
603168 5
000679 3
002666 1
600468 5
600094 5
002094 3
300343 2
603882 5
002368 1
300168 3
603185 5
600367 5
300570 2
000034 1
603157 5
600105 4
300672 2
002065 2
603990 4
002222 3
000555 1
300126 2
688198 5
300487 3
603722 5
603388 5
300363 3
600773 5
300404 1
300472 2
300192 2
603658 5
002709 2
002675 1
002763 1
300561 4
600448 5
000977 1
002279 2
300373 3
002475 1
300422 1
002296 4
300482 1
002180 3
300015 3
002411 2
002928 1
300229 1
002679 2
603496 5
300073 3
600487 4
603501 5
688099 5
300513 3
002703 2
688029 5
300571 2
600898 5
002369 3
300463 1
300492 1
603938 5
600602 5
002738 3
002657 3
300206 2
002281 2
002161 2
603068 5
603429 5
603826 5
002819 2
600882 5
603885 5
600163 5
603986 5
603327 5
600260 5
300601 1
300603 2
603927 5
300532 3
002197 1
300012 4
002384 1
000158 4
300096 1
603617 5
600446 5
002137 2
000913 2
688111 5
000988 2
603283 5
000596 3
300288 3
601111 5
300760 3
300433 2
000889 1
300270 1
603859 5
002395 2
002860 3
300278 3
000875 4
002626 2
601966 5
600701 5
002220 1
300231 4
300365 3
002015 2
000948 2
002792 3
603987 5
601258 5
002711 3
600666 5
002301 4
002005 3
002147 1
002649 2
600891 5
300768 3
002912 4
002581 1
300502 2
002766 2
002359 2
000010 1
688033 5
002410 2
002668 2
002435 2
002967 2
000762 3
002241 1
002938 2
000673 1
300628 4
002821 4
601636 5
300529 4
600909 5
300486 3
002027 1
002681 3
002356 1
002113 1
002642 3
002308 2
600112 5
000820 1
600761 5
600228 5
600209 5
300357 5
300750 2
002323 2
603883 5
600048 5
300770 2
002601 1
300617 1
002647 1
603360 5
300337 2
603326 5
300347 3
300653 2
300738 1
603108 2
600718 5
300078 4
002837 1
002406 3
688321 5
300702 2
300620 5
000982 3
002497 2
002474 3
300220 3
300175 3
002582 2
300460 1
002515 1
600536 5
300779 1
600571 5
002607 1
600510 5
600787 5
300399 3
603579 5
002897 4
002919 1
600246 5
002024 1
603259 5
300003 3
603505 5
002268 2
603019 5
601012 5
002130 1
002861 1
600029 5
601138 5
688118 4
603707 5
600104 5
002822 1
300333 4
002217 2
000676 1
300353 2
600522 5
300725 1
603355 5
600130 5
002781 1
603006 5
603369 5
603598 5
300245 2
300163 2
300021 1
600809 5
300608 3
300657 2
601360 5
000608 1
688188 5
300378 2
300075 3
600093 5
002194 3
603960 5
000892 1
300047 3
300707 3
300311 1
300044 4
300017 3
002445 2
600756 5
603089 5
002787 2
002706 3
603811 5
002047 3
300051 2
300759 3
600239 5
000516 2
300417 2
002527 3
300755 2
002940 1
300542 3
002811 3
601869 5
603515 4
600973 5
002889 2
300772 4
002760 2
300061 3
002115 2
300394 4
300504 3
300536 1
603232 5
300642 1
002006 4
300732 1
603636 5
002722 3
603337 5
002741 2
002077 2
600626 5
603896 5
300392 3
300661 4
688168 5
600978 5
000816 2
300684 4
300297 2
300326 1
601100 5
300232 2
002511 2
000823 3
688369 5
603180 5
300709 2
688016 5
300558 2
300098 1
000806 1
300401 5
600250 5
300469 3
000895 1
300207 4
002273 2
603520 5
002409 2
